iter	Passed	Remaining
429	1658	2198
430	1662	2194
431	1666	2190
432	1669	2186
433	1673	2182
434	1676	2178
435	1679	2172
436	1683	2169
437	1687	2164
438	1690	2160
439	1693	2155
440	1696	2150
441	1699	2145
442	1702	2140
443	1705	2135
444	1707	2129
445	1710	2124
446	1713	2119
447	1716	2114
448	1719	2109
449	1722	2104
450	1724	2099
451	1727	2094
452	1730	2089
453	1733	2084
454	1736	2079
455	1739	2074
456	1741	2069
457	1744	2064
458	1747	2060
459	1750	2054
460	1753	2050
461	1755	2044
462	1759	2040
463	1763	2036
464	1765	2031
465	1768	2026
466	1772	2023
467	1777	2020
468	1780	2016
469	1783	2011
470	1786	2006
471	1789	2002
472	1793	1997
473	1796	1994
474	1800	1989
475	1803	1985
476	1806	1980
477	1809	1976
478	1813	1971
479	1816	1967
480	1819	1963
481	1822	1958
482	1826	1954
483	1829	1950
484	1832	1945
485	1835	1941
486	1838	1936
487	1841	1932
488	1845	1928
489	1848	1923
490	1851	1918
491	1853	1914
492	1856	1909
493	1859	1904
494	1862	1899
495	1864	1894
496	1867	1890
497	1870	1885
498	1873	1881
499	1876	1876
500	1879	1871
501	1882	1867
502	1885	1862
503	1887	1857
504	1891	1854
505	1894	1849
506	1897	1844
507	1900	1840
508	1903	1836
509	1906	1831
510	1908	1826
511	1911	1822
512	1914	1817
513	1916	1812
514	1919	1807
515	1921	1802
516	1924	1798
517	1927	1793
518	1929	1788
519	1932	1783
520	1934	1778
521	1937	1774
522	1939	1769
523	1942	1764
524	1945	1760
525	1948	1755
526	1950	1750
527	1953	1745
528	1955	1741
529	1958	1737
530	1961	1732
531	1964	1728
532	1967	1723
533	1969	1718
534	1972	1714
535	1976	1710
536	1979	1706
537	1982	1702
538	1984	1697
539	1987	1692
540	1989	1688
541	1993	1684
542	1995	1679
543	1998	1675
544	2000	1670
545	2003	1665
546	2005	1661
547	2009	1657
548	2011	1652
549	2014	1648
550	2016	1643
551	2019	1638
552	2021	1634
553	2025	1630
554	2027	1625
555	2030	1621
556	2033	1617
557	2036	1613
558	2038	1608
559	2041	1604
560	2044	1599
561	2046	1595
562	2049	1590
563	2051	1586
564	2054	1581
565	2056	1577
566	2059	1572
567	2062	1568
568	2064	1563
569	2067	1559
570	2069	1554
571	2072	1550
572	2074	1546
573	2077	1541
574	2080	1537
575	2082	1533
576	2085	1528
577	2088	1524
578	2090	1520
579	2093	1515
580	2096	1511
581	2098	1507
582	2101	1502
583	2103	1498
584	2106	1494
585	2108	1489
586	2111	1485
587	2114	1481
588	2116	1477
589	2119	1472
590	2121	1468
591	2124	1464
592	2127	1459
593	2129	1455
594	2132	1451
595	2134	1447
596	2137	1443
597	2140	1438
598	2142	1434
599	2145	1430
600	2148	1426
601	2150	1421
602	2153	1417
603	2156	1413
604	2158	1409
605	2161	1405
606	2163	1400
607	2166	1396
608	2168	1392
609	2171	1388
610	2173	1384
611	2176	1379
612	2178	1375
613	2181	1371
614	2184	1367
615	2186	1363
616	2189	1359
617	2191	1354
618	2194	1350
619	2196	1346
620	2199	1342
621	2202	1338
622	2205	1334
623	2207	1330
624	2210	1326
625	2213	1322
626	2215	1318
627	2219	1314
628	2221	1310
629	2224	1306
630	2226	1302
631	2229	1298
632	2231	1293
633	2234	1289
634	2236	1285
635	2239	1281
636	2241	1277
637	2244	1273
638	2246	1269
639	2249	1265
640	2252	1261
641	2254	1257
642	2257	1253
643	2259	1249
644	2262	1245
645	2264	1241
646	2267	1237
647	2270	1233
648	2272	1229
649	2275	1225
650	2277	1220
651	2279	1216
652	2282	1212
653	2285	1208
654	2287	1204
655	2289	1200
656	2292	1196
657	2294	1192
658	2297	1188
659	2300	1184
660	2302	1180
661	2305	1177
662	2307	1173
663	2310	1169
664	2312	1165
665	2315	1161
666	2320	1158
667	2324	1155
668	2327	1151
669	2330	1148
670	2334	1144
671	2337	1140
672	2340	1137
673	2343	1133
674	2346	1129
675	2349	1126
676	2352	1122
677	2355	1118
678	2358	1114
679	2361	1111
680	2363	1107
681	2366	1103
682	2369	1099
683	2372	1095
684	2374	1092
685	2377	1088
686	2380	1084
687	2382	1080
688	2385	1076
689	2388	1073
690	2390	1069
691	2393	1065
692	2396	1061
693	2399	1057
694	2401	1054
695	2404	1050
696	2406	1046
697	2409	1042
698	2411	1038
699	2414	1034
700	2417	1031
701	2419	1027
702	2422	1023
703	2424	1019
704	2427	1015
705	2430	1011
706	2432	1008
707	2435	1004
708	2437	1000
709	2440	996
710	2443	993
711	2445	989
712	2448	985
713	2450	981
714	2453	978
715	2456	974
716	2458	970
717	2461	966
718	2463	962
719	2466	959
720	2469	955
721	2471	951
722	2474	947
723	2476	944
724	2479	940
725	2482	936
726	2484	933
727	2487	929
728	2489	925
729	2492	921
730	2495	918
731	2498	914
732	2500	910
733	2503	907
734	2505	903
735	2508	899
736	2510	896
737	2513	892
738	2516	888
739	2518	884
740	2521	881
741	2523	877
742	2526	873
743	2528	870
744	2531	866
745	2533	862
746	2536	859
747	2538	855
748	2541	851
749	2543	847
750	2546	844
751	2549	840
752	2551	837
753	2554	833
754	2556	829
755	2559	826
756	2561	822
757	2564	818
758	2567	815
759	2569	811
760	2572	807
761	2574	804
762	2577	800
763	2579	796
764	2582	793
765	2584	789
766	2587	785
767	2589	782
768	2592	778
769	2594	775
770	2597	771
771	2599	767
772	2602	764
773	2604	760
774	2607	756
775	2609	753
776	2612	749
777	2614	746
778	2617	742
779	2619	738
780	2622	735
781	2624	731
782	2627	728
783	2629	724
784	2632	720
785	2634	717
786	2636	713
787	2639	710
788	2641	706
789	2643	702
790	2646	699
791	2648	695
792	2651	692
793	2653	688
794	2656	684
795	2658	681
796	2661	677
797	2663	674
798	2666	670
799	2668	667
800	2671	663
801	2673	660
802	2676	656
803	2679	653
804	2681	649
805	2683	645
806	2686	642
807	2688	638
808	2691	635
809	2694	631
810	2696	628
811	2699	624
812	2701	621
813	2704	617
814	2706	614
815	2709	610
816	2711	607
817	2714	603
818	2716	600
819	2718	596
820	2721	593
821	2723	589
822	2726	586
823	2729	582
824	2731	579
825	2733	575
826	2736	572
827	2738	568
828	2740	565
829	2743	561
830	2746	558
831	2748	555
832	2750	551
833	2753	548
834	2755	544
835	2758	541
836	2760	537
837	2763	534
838	2765	530
839	2768	527
840	2770	523
841	2772	520
842	2775	516
843	2777	513
844	2780	510
845	2782	506
846	2785	503
847	2787	499
848	2789	496
849	2792	492
850	2794	489
851	2797	485
852	2799	482
853	2802	479
854	2804	475
855	2806	472
856	2809	468
857	2811	465
858	2814	461
859	2816	458
860	2819	455
861	2821	451
862	2824	448
863	2827	444
864	2829	441
865	2831	438
866	2834	434
867	2836	431
868	2839	428
869	2842	424
870	2844	421
871	2847	417
872	2849	414
873	2852	411
874	2854	407
875	2857	404
876	2859	401
877	2862	397
878	2864	394
879	2866	390
880	2869	387
881	2871	384
882	2874	380
883	2876	377
884	2879	374
885	2881	370
886	2883	367
887	2886	364
888	2888	360
889	2890	357
890	2893	353
891	2895	350
892	2898	347
893	2900	343
894	2902	340
895	2905	337
896	2907	333
897	2910	330
898	2912	327
899	2914	323
900	2917	320
901	2919	317
902	2922	313
903	2924	310
904	2927	307
905	2929	303
906	2932	300
907	2934	297
908	2936	294
909	2939	290
910	2941	287
911	2944	284
912	2946	280
913	2949	277
914	2951	274
915	2953	270
916	2956	267
917	2958	264
918	2961	260
919	2963	257
920	2965	254
921	2968	251
922	2970	247
923	2973	244
924	2975	241
925	2977	237
926	2980	234
927	2982	231
928	2984	228
929	2987	224
930	2989	221
931	2992	218
932	2994	215
933	2997	211
934	2999	208
935	3001	205
936	3004	202
937	3006	198
938	3009	195
939	3011	192
940	3013	188
941	3016	185
942	3018	182
943	3021	179
944	3023	175
945	3026	172
946	3028	169
947	3031	166
948	3033	163
949	3036	159
950	3038	156
951	3041	153
952	3043	150
953	3046	146
954	3048	143
955	3051	140
956	3053	137
957	3056	133
958	3058	130
959	3061	127
960	3063	124
961	3066	121
962	3069	117
963	3071	114
964	3074	111
965	3076	108
966	3079	105
967	3081	101
968	3084	98
969	3087	95
970	3089	92
971	3092	89
972	3094	85
973	3097	82
974	3099	79
975	3102	76
976	3104	73
977	3107	69
978	3110	66
